	City	Latitude	Temperature (F)	% Humidity	% Cloudiness	Wind Speed (MPH)
0	Pisco	-13.71	71.6	30	0	20.8
1	Mombaca	-5.74	82.67	58	76	3.62
2	Mataura	-46.19	57.02	67	12	4.74
3	Atuona	-9.8	81.32	100	8	17.94
4	Maragogi	-9.01	78.12	85	20	8.43
5	Druzhba	49.36	7.3	75	0	8.55
6	Tuktoyaktuk	69.44	-14.8	75	90	10.29
7	Albany	42.65	13.33	46	20	19.46
8	Ushuaia	-54.81	51.8	66	75	18.34
9	Hobart	-42.88	73.4	38	20	6.93
10	Zemio	5.02	70.03	82	0	1.61
11	Butaritari	3.07	82.85	100	76	11.23
12	Rikitea	-23.12	79.12	100	32	16.82
13	Codrington	-28.95	70.45	88	44	8.05
14	Ust-Maya	60.42	-29.29	47	64	2.73
15	Jinxiang	35.07	19.31	69	0	2.95
16	Nikolskoye	59.7	33.8	86	75	8.95
17	Chuy	-33.69	69.89	82	92	10.89
18	Vaini	15.34	58.64	87	0	2.62
19	Kenai	60.55	-6.02	74	1	6.93
20	Akhtubinsk	48.29	35.33	96	92	18.5
21	Caravelas	-17.73	81.28	100	12	12.12
22	Muros	42.77	40.14	80	0	4.7
23	Rustenburg	-25.67	66.83	85	24	3.96
24	Husavik	50.56	14.05	96	44	9.89
25	Cayenne	4.94	77.0	88	0	2.24
26	Oussouye	12.49	75.22	73	0	2.24
27	Puerto Ayora	-0.74	84.2	62	20	14.99
28	Wilkie	52.41	8.6	78	1	11.41
29	Arraial Do Cabo	-22.97	80.6	69	20	19.46
30	Orlik	52.51	-24.61	29	0	1.95
31	Erenhot	43.65	9.05	76	32	11.79
32	Sitka	37.17	42.12	100	92	13.69
33	Tuatapere	-46.13	54.14	98	0	2.73
34	Dikson	73.51	-21.91	97	0	14.36
35	The Valley	18.22	77.95	69	20	9.17
36	Puerto Madero	-34.61	74.01	40	0	10.29
37	Sibolga	1.74	65.84	100	24	2.06
38	Iberia	-11.41	78.44	85	100	2.95
39	Port Alfred	-33.59	73.18	84	0	4.3
40	Hilo	19.71	73.94	78	90	11.41
41	Mar Del Plata	-46.43	74.03	37	88	23.98
42	Hermanus	-34.42	56.03	97	56	4.74
43	Mahanoro	-19.9	72.23	100	76	2.39
44	Awjilah	29.14	52.75	31	0	12.68
45	Karratha	-20.74	74.53	97	68	3.18
46	Antalya	36.9	50.0	87	75	10.29
47	New Norfolk	-42.78	73.4	38	20	6.93
48	Gewane	10.16	56.3	73	0	3.74
49	Tsagan Aman	47.57	37.0	99	92	17.72
50	Lisala	2.15	81.41	61	48	3.4
51	Sorland	67.67	33.8	69	40	24.16
52	Clyde River	70.47	-27.4	74	20	5.82
53	Saldanha	41.42	25.43	86	0	3.62
54	Bluff	-23.58	70.12	81	0	7.76
55	Tilichiki	60.47	12.7	72	0	9.1
56	Monforte De Lemos	42.52	28.0	93	0	1.95
57	Ostrovnoy	68.05	22.01	87	76	12.57
58	Avarua	-21.21	84.2	70	75	14.99
59	Busselton	-33.64	59.81	100	0	8.21
60	Souillac	45.6	41.0	93	90	3.18
61	Shingu	33.72	49.64	100	76	1.95
62	Manica	-18.94	75.2	94	20	6.93
63	Hobyo	5.35	75.52	85	0	18.39
64	Zhigansk	66.77	-23.71	71	48	8.77
65	Padang	-0.92	79.25	100	48	4.74
66	Cidreira	-30.17	75.52	87	92	9.78
67	Yellowknife	62.45	3.2	77	90	9.17
68	Castro	-42.48	53.6	100	90	18.34
69	Georgetown	6.8	82.4	69	75	9.17
70	Jamestown	-33.21	70.16	59	0	4.18
71	Waingapu	-9.65	72.1	99	32	2.73
72	Qaanaaq	77.48	-15.97	100	48	13.02
73	Port Moresby	-9.47	78.8	88	20	4.7
74	Tucumcari	35.17	44.06	72	90	9.17
75	Bolobo	-2.17	71.96	100	12	4.18
76	Quatre Cocos	-20.21	78.8	88	40	3.36
77	Kurskaya	44.04	16.97	74	24	3.29
78	Saint Anthony	43.97	29.55	75	90	3.96
79	Victoria	5.28	78.8	94	75	1.83
80	Madimba	4.42	78.8	94	20	13.24
81	Saint George	39.45	40.17	80	75	2.84
82	Punta Arenas	-53.16	51.8	88	40	31.09
83	Thompson	55.74	-5.8	70	75	6.93
84	San Cristobal	-0.39	64.27	55	40	17.22
85	Isla Vista	34.41	59.59	62	90	14.99
86	Sola	62.78	32.0	84	90	14.99
87	Neya	58.29	14.54	82	76	16.26
88	Narsaq	60.91	41.0	44	75	19.46
89	Cape Town	-33.93	60.8	87	40	4.7
90	Luena	-11.78	70.16	79	92	5.75
91	Bambous Virieux	-20.34	78.8	88	40	3.36
92	Zhengjiatun	43.51	3.47	55	0	3.96
93	Namibe	-15.19	74.21	100	0	3.4
94	Banda Aceh	5.56	73.4	100	44	2.28
95	East London	-33.02	76.78	89	0	11.01
